AutoMart|203 West Main St|214-555-1212 
20456|2005|Toyota|Camry|Sedan|Blue|145000|3500.00
32177|2010|Chevrolet|Malibu|Sedan|Black|98700|5500.00
98763|2018|Nissan|Altima|Sedan|White|64000|10995.00
11023|1999|Ford|F-150|Truck|Green|210345|2500.00
45788|2021|Tesla|Model 3|Sedan|Red|12345|32999.00
78942|2007|Jeep|Wrangler|SUV|Orange|160000|8500.00
21234|2015|Subaru|Forester|SUV|Silver|90321|17995.00
65432|2003|Honda|Accord|Sedan|Beige|189432|2750.00
10101|2016|Chevrolet|Cruze|Sedan|Gray|56000|9950.00
98321|2013|Ford|Escape|SUV|White|87000|9995.00
11478|2008|Toyota|Highlander|SUV|Red|143210|7995.00
37942|2019|Kia|Soul|Hatchback|Green|42100|12950.00
67239|2012|Hyundai|Sonata|Sedan|Black|112300|6900.00
23879|2020|Mazda|CX-5|SUV|Blue|29000|23499.00
81349|2011|Volkswagen|Jetta|Sedan|Gray|102450|6250.00
12839|2006|Nissan|Frontier|Truck|Silver|178200|5200.00
99123|2017|Chevrolet|Impala|Sedan|Black|76500|10950.00
41920|2015|BMW|X3|SUV|White|60345|19850.00
55938|2010|Dodge|Charger|Sedan|Blue|121000|7500.00
66128|2004|Ford|Explorer|SUV|Gold|193000|2850.00
45329|2022|Hyundai|Elantra|Sedan|Red|15234|18999.00
73901|2018|Jeep|Cherokee|SUV|Black|55000|18500.00
22411|2013|Toyota|Tacoma|Truck|Blue|134000|14250.00
84213|2009|Honda|Civic|Sedan|White|158000|4900.00
31256|2011|Subaru|Outback|Wagon|Green|99500|8750.00
73214|2020|Nissan|Rogue|SUV|Gray|44000|21995.00
10472|2019|Chevrolet|Equinox|SUV|Silver|33000|19995.00
60483|2007|Ford|Fusion|Sedan|Black|149000|4100.00
88231|2014|Toyota|Corolla|Sedan|Blue|88000|8950.00
99651|2002|Chevrolet|S10|Truck|Red|201000|2750.00
